Date,ActualCases,Predicts
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,3,1
2020-02-04,0,1
2020-02-05,0,0
2020-02-06,1,0
2020-02-07,0,1
2020-02-08,0,0
2020-02-09,0,3
2020-02-10,0,0
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,0,0
2020-02-16,0,1
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,1,0
2020-02-22,19,5
2020-02-23,0,2
2020-02-24,0,2
2020-02-25,18,0
2020-02-26,0,2
2020-02-27,6,18
2020-02-28,1,0
2020-02-29,6,3
2020-03-01,3,4
2020-03-02,20,5
2020-03-03,14,2
2020-03-04,22,15
2020-03-05,34,25
2020-03-06,74,73
2020-03-07,105,106
2020-03-08,95,108
2020-03-09,121,151
2020-03-10,200,200
2020-03-11,271,323
2020-03-12,287,328
2020-03-13,351,396
2020-03-14,511,545
2020-03-15,777,1033
2020-03-16,823,960
2020-03-17,887,975
2020-03-18,1766,1622
2020-03-19,2988,4147
2020-03-20,4835,6595
2020-03-21,5374,6163
2020-03-22,7123,8258
2020-03-23,8459,10055
2020-03-24,11236,13069
2020-03-25,8789,11760
2020-03-26,13963,11902
2020-03-27,16797,15362
2020-03-28,18695,20927
2020-03-29,19979,22125
2020-03-30,18360,21622
2020-03-31,21595,23277
2020-04-01,24998,26591
2020-04-02,27103,29475
2020-04-03,28819,27232
2020-04-04,32425,34245
2020-04-05,34272,36436
2020-04-06,25398,34592
2020-04-07,30561,31193
2020-04-08,30613,30960
2020-04-09,33323,35372
2020-04-10,33901,37297
2020-04-11,35527,36410
2020-04-12,28391,26589
2020-04-13,27620,29246
2020-04-14,25023,26375
2020-04-15,26922,28035
2020-04-16,30148,30043
2020-04-17,31667,29697
2020-04-18,30833,30630
2020-04-19,32922,26501
2020-04-20,24601,25815
2020-04-21,28065,28275
2020-04-22,37289,38463
2020-04-23,17588,27644
2020-04-24,26543,34678
2020-04-25,21352,18523
2020-04-26,48529,23927
2020-04-27,26857,28941
2020-04-28,22541,22355
2020-04-29,24132,26188
2020-04-30,27326,38085
2020-05-01,29917,39454
2020-05-02,33955,25109
2020-05-03,29288,25668
